"","ws2m","rh2m","tdew","tmax","tmin","tmoy","insol","ah"
"DZA",3.72388550548112,24.4372107186358,-0.22531059683313,32.6500365408039,17.1183069427527,24.3930085261876,21.0995736906212,4.92238462230174
"AGO",0.892070645554202,65.9619610231425,13.7459317904994,28.2215468940317,16.7081729598051,22.0283434835566,20.0670523751523,12.7207528084084
"BEN",2.06560292326431,63.6865529841657,17.134628501827,33.2245310596833,21.2783191230207,26.6520584652862,19.0510231425091,15.9308945836159
"BWA",2.78271619975639,43.738928136419,8.25902557856273,30.6052253349574,15.9991961023143,23.0910475030451,21.6003775883069,9.32123039012927
"BFA",2.35951278928136,48.4746163215591,12.8020584652862,35.1255298416565,21.6718879415347,27.843568818514,21.142490864799,13.0914741413183
"BDI",0.584226552984166,81.8227771010962,14.9649208282582,24.1208282582217,14.227490864799,18.538574908648,17.5202679658953,12.9889032984748
"CPV",5.7226065773447,80.581412911084,20.0768209500609,24.3230328867235,22.9876979293544,23.6241900121803,20.2760170523752,17.2908913483822
"CMR",1.01461632155907,83.6276492082826,20.6953836784409,28.3561753958587,20.6463580998782,24.0255176613886,16.5778867235079,18.1761406610074
"CAF",1.71756394640682,71.2506211936663,18.1597198538368,30.6950791717418,19.8702801461632,24.9345676004872,19.800365408039,16.123818870266
"TCD",3.47768574908648,27.4341900121803,3.45702801461632,35.0713032886724,19.7909378806334,26.8486601705238,23.7794620158567,7.36218630067501
"COM",3.98693057247259,77.2496833130329,22.7544945188794,27.4684774665043,26.6594640682095,27.0752253349574,20.8234104750304,20.0414116581655
"COG",0.208002436053593,86.47287454324,22.4612058465286,28.8043605359318,21.8223020706456,25.0571863580999,17.1695,19.9583466549686
"COD",0.295529841656516,80.213568818514,20.9762241169306,29.1488306942753,21.6987941534714,25.171802679659,17.1105907429963,18.4999761894963
"CIV",1.54930572472594,76.1230450669915,20.907868453106,31.1152862362972,21.7944336175396,26.1609744214373,17.4319549330085,18.6776222252098
"DJI",3.89886723507917,59.1263824604141,16.6751157125457,33.679269183922,22.0317661388551,26.9983069427527,21.9147990255786,14.8598502879903
"EGY",3.06440925700365,40.8609622411693,4.87847746650426,28.8691717417783,14.1534104750305,21.0716199756395,22.7433495736906,7.17416497133532
"GNQ",0.975079171741778,88.650365408039,22.6657612667479,28.2059439707674,22.5918270401949,24.7978319123021,15.452131546894,20.1898740477159
"ERI",2.83466504263094,52.8603045066991,18.2587332521315,35.5304628501827,26.2344092570037,30.2829719853837,20.1780267965895,15.9759135078462
"SWZ",1.84045066991474,64.9349451887942,11.4551278928136,27.6645554202192,13.5934835566382,19.7308282582217,17.8738855054811,11.3722504997235
"ETH",2.02390986601705,59.3515834348356,11.6361753958587,28.2642021924482,15.6002801461632,21.2919732034105,22.7557612667479,11.0129594966176
"GAB",0.0654811205846529,78.6352862362972,20.9282947624848,30.0948233861145,21.8083922046285,25.421412911084,15.3018940316687,18.4331493940161
"GMB",2.4768940316687,53.468221680877,14.5887210718636,34.8357856272838,21.8636419001218,27.9171619975639,21.0149817295981,14.1683568466316
"GHA",1.85477466504263,70.1566626065773,20.3238367844093,33.0190742996346,22.6352618757613,27.4195249695493,18.1630511571255,18.3269956272239
"GIN",1.77141291108404,69.6809378806334,17.9201827040195,31.1362119366626,19.9874543239951,25.1712911084044,19.3771010962241,16.1661238687463
"GNB",2.14695493300853,66.3939464068209,18.8592448233861,33.2879293544458,22.121425091352,27.1722046285018,19.9060048721072,17.1124058116808
"KEN",1.24109622411693,60.1315103532278,16.2480267965895,32.9094153471376,19.9238246041413,25.6554202192448,19.8854323995128,14.3014293804809
"LSO",2.15196102314251,64.1584531059683,2.76159561510353,16.8582460414129,4.59084043848965,10.2620706455542,19.7720706455542,6.4758714325194
"LBR",1.4162484774665,86.5815834348356,22.5270036540804,29.1805481120585,21.8800852618758,25.1257369062119,16.8153775883069,20.0995566038603
"LBY",3.48841656516443,32.0558343483557,1.74688185140073,30.1340560292326,14.4814981729598,21.9552618757613,22.1852496954933,5.85822469452982
"MDG",2.5052862362972,79.1448842874543,14.3806942752741,24.6150304506699,13.7713641900122,18.6087697929354,21.5655420219245,12.7353680252981
"MWI",3.75588306942753,62.7941169305725,17.5413641900122,29.2980633373934,22.3274543239951,25.8708769792935,20.447149817296,15.1594134838426
"MLI",3.01672350791717,26.4887088915956,4.43718635809988,35.5560292326431,21.3306333739342,27.9727405602923,22.9858587088916,7.84794352321069
"MRT",3.39786845310597,26.8182825822168,3.17378806333739,33.2565286236297,18.939987819732,25.5865529841657,22.3478806333739,6.50807681701606
"MUS",5.77993909866017,75.4217295980512,20.2784896467722,26.3591108404385,23.8681485992692,24.976431181486,20.3673934226553,17.5025566980556
"MAR",1.98028014616322,49.4590986601705,5.09191230207065,25.9653349573691,12.1637637028015,18.1637149817296,20.0277953714982,7.41670846250934
"MOZ",2.34747868453106,72.1649451887941,19.3237758830694,31.9393666260658,20.8201948842875,25.6497076735688,19.3755298416565,17.3513927110522
"NAM",2.84774665042631,36.9252984165652,3.76080389768575,30.1006333739342,13.6737637028015,21.5096833130329,23.0669549330085,7.21885992760619
"NER",3.41529841656516,22.4519853836784,0.364348355663825,35.2951278928136,20.0291961023143,27.0251887941535,23.2274786845311,6.10875250199314
"NGA",2.27906211936663,58.9046041412911,13.7726674786845,31.6123995127893,20.6167356881851,25.4146041412911,19.5294397076736,13.418004783094
"RWA",1.2647868453106,80.4938246041413,15.3707795371498,24.5012911084044,14.7658099878197,19.1893666260658,16.8530207064555,13.2591231794761
"STP",3.52008526187576,82.8680633373934,23.5568087697929,27.038221680877,26.3198416565164,26.7011693057247,16.6462180267966,21.019042887807
"SEN",2.85952496954933,41.9622777101096,10.7591839220463,36.5959683313033,22.5753836784409,29.1568696711328,21.3236540803898,11.846845403719
"SYC",4.43311814859927,80.0397685749086,23.8242021924482,27.8888306942753,27.1951887941535,27.575359317905,21.1503958587089,21.27516798874
"SLE",1.52008526187576,78.1431181485993,21.6641291108404,31.5975883069428,22.5214616321559,26.5608526187576,18.2668453105968,19.4967469085729
"SOM",4.44399512789281,58.9117295980512,17.9718392204629,35.0288063337393,22.3900852618758,28.1222777101096,22.5193909866017,16.1052144780368
"ZAF",3.17989037758831,40.3477588306943,2.71511571254568,27.4578319123021,10.8934348355664,18.860353227771,22.4232643118149,6.71033802095127
"SSD",2.16054811205847,60.2290864799026,17.6979902557856,33.6351766138855,22.737490864799,27.8767356881851,19.3087697929354,15.8303777107733
"SDN",3.15472594397077,38.5582825822168,6.87058465286236,33.6248599269184,18.9636784409257,25.7621802679659,22.2315834348356,9.47360855196487
"TZA",2.38069427527406,74.248574908648,16.2289524969549,27.8833373934227,16.7720706455542,21.828928136419,21.1458952496955,14.2120560588836
"TGO",1.70852618757613,73.6575517661389,19.6998051157125,31.021412911084,21.3252253349574,25.7709987819732,18.4654689403167,17.621486687965
"TUN",3.16848964677223,51.6995371498173,7.88646772228989,27.4413641900122,14.1313641900122,20.1866017052375,19.5487210718636,9.18749837446154
"UGA",2.0804628501827,68.862509135201,17.4423142509135,28.8694031668697,19.9485992691839,24.1295249695493,20.2840925700365,14.9904960651818
"ZMB",2.39778319123021,68.5974543239951,13.685712545676,27.5910353227771,15.4217295980512,21.0580755176614,20.4070645554202,12.5507742695818
"ZWE",2.60082825822168,59.5066747868453,10.8425456760049,28.3051887941535,14.1727527405603,20.7531668696711,20.8015225334957,10.8701120930277
